Código,Nombre Común,Nombre científico,Nitrógeno (kg/ton),Fósforo (kg/ton),Potasio (kg/ton),Calcio (kg/ton),Magnesio (kg/ton),Azufre (kg/ton),Periodo vegetativo (meses),Rendimiento (kg/ha),Indice de Cocecha,,
63,NA FORRAJERA,Avena sativa,18,7,22,3.5,1.8,1.5,4.5,25,0.645,,
64,NABO,Brassica rapa,4,1.2,4.2,1,0.5,0.6,3.5,25,0.645,,
65,OCA,Oxalis tuberosa,4.2,1.8,6.5,2.8,0.9,0.7,7.5,15,0.645,,
66,OLIVO,Olea europea,11,5,14,5,5,3,12,4,0.645,,
67,OLLUCO,Ullucus tuberosus,4,1.6,6.2,2.6,0.85,0.65,6.5,15,0.645,,
68,PACAE,Inga feuilleei,8,3.5,10,3.5,2,1.5,12,6.5,0.645,,
69,PALMA ACEITERA,Elaeis guineensis,8,3.5,12.5,1.8,1.8,2,12,18,0.645,,
70,PALTO,Persea americana,3.5,0.9,4.5,0.4,0.4,0.5,12,10,0.645,,
71,PAN DE ÁRBOL,Artocarpus altilis,3.2,1.4,5.8,2,0.8,0.6,12,20,0.645,,
72,PAPA MEJORADA,Solanum tuberosum,3.5,0.5,4.5,1.6,1.13,0.39,5.5,20,0.645,,
73,PAPA NATIVA,Solanum tuberosum,3.8,0.52,4.5,1.6,1.13,0.39,6.5,12,0.645,,
74,PAPAYA,Carica papaya,3,1,7,0.5,0.6,0.5,9.5,50,0.645,,
75,PAPAYITA,Vasconcellea pubescens,3.2,1.1,6.5,0.6,0.5,0.4,9.5,25,0.645,,
76,PASTO NATURAL,"Stipa ichu, spp.",2,0.9,2.5,1.5,0.5,0.3,12,7.5,0.645,,
77,PASTOS ASOCIADOS,Varias especies,1.8,0.8,2.1,3.2,1.8,0.7,12,20,0.645,,
78,PEPINO,Cucumis sativus,4.5,1.4,8.9,5.6,1.4,1.3,3.5,25,0.645,,
79,PIÑA,Ananas comosus,4,3.3,15,1.4,1.8,0.4,13,40,0.645,,
80,PITAHAYA,Hylocereus undatus,4.5,2.2,7.8,1.8,0.9,0.7,12,10,0.645,,
81,PLATANO,Musa spp,2.5,0.7,7,0.5,0.6,0.5,13,25,0.645,,
82,QUINUA,Chenopodium quinoa,26,11,52,9.8,2.2,2,5.5,2.5,0.645,,
83,RABANO,Raphanus sativus,4,1.2,4.2,1,0.5,0.6,1.5,20,0.645,,
84,ROCOTO,Capsicum pubescens,7.5,4.8,9.5,4.5,5.5,4.8,9,12,0.645,,
85,RYE GRASS,Lolium multiflorum,1.8,0.8,2.1,3.2,1.8,0.5,12,50,0.645,,
86,SÁBILA,Aloe barbadensis,2.5,1.2,4,2.8,0.7,0.6,21,25,0.645,,
87,SANDIA,Citrullus vulgaris,3.7,1.2,6.7,4.7,1,1,4.5,25,0.645,,
88,SOYA,Glycine max,77,16,45,7,7,7,5.5,2.5,0.645,,
89,TABACO,Nicotiana tabacum,45,7,65,28,6,6,5.5,2.5,0.645,,
90,TARA,Caesalpinia spinosa,6.666666666666667,3,5,1,1,1.2,12,4,0.645,,
91,TARWI,Lupinus mutabilis,45,12,35,8,4,3.5,7.5,2.5,0.645,,
92,TOMATE,Licopersicum esculentum,3.5,1,5.7,6,1,0.7,7,50,0.645,,
93,TREBOL,Medicago spp.,30,8,25,10,2,2,12,40,0.645,,
94,TRIGO,Triticum aestivum,29,14,29,4.5,5.5,4,5.5,4,0.645,,
95,TUMBO,Passiflora tripartita var. mollissima,3.5,1.6,5.5,2.2,0.85,0.65,12,10,0.645,,
96,TUNA,Opuntia ficus-indica,3.2,1.5,5.8,3.5,0.8,0.5,12,20,0.645,,
97,VID,Vitis vinifera,9,4,12,0.7,0.7,0.8,12,12,0.645,,
98,YUCA,Manihot esculenta,3.5,1.8,6.5,2,0.6,0.4,10.5,20,0.645,,
99,ZANAHORIA,Daucus carota,2,1.1,6,3.8,0.3,0.3,4.5,35,0.645,,
